Channel Groups,State,Bids,Avg. CPC,Avg. Bid,Impressions,Avg. Pos,SOV,Clicks,Quote Start Rate ,Total Click Cost,Bids to Clicks,Quotes Started,Clicks to Quotes,Quotes,Online Quote CR,Quotes to Binds,Clicks to Binds,Binds,Target CPB,CPB,Performance,Scored Policies,ROE,Combined Ratio,Avg. MRLTV,Avg. Profit
Group 140 MCH,VA,2656,126.9141146,121.4608236,2145,1.202797203,0.807605422,785,0.943949045,99627.58,0.295557229,741,0.485350318,381,0.51417004,0.13648294,0.066242038,52,3000,1915.915,1.56583147,49,-0.064400283,1.028437887,1612.611096,1877.215899
Group 140 MCH,MI,3264,112.7361088,108.1967433,2460,1.510162602,0.753676471,735,0.936054422,82861.04,0.225183824,688,0.488435374,359,0.521802326,0.072423398,0.03537415,26,2500,3186.963077,0.784445863,24,-0.321080595,1.173712274,1867.53369,2223.84402
Group 140 MCH,PA,2930,120.7092056,113.6609041,2249,1.524232992,0.767576792,642,0.911214953,77495.31,0.219112628,585,0.419003115,269,0.45982906,0.107806691,0.04517134,29,2958.486328,2672.252069,1.107113495,28,-0.362850533,1.180773973,1357.785841,1682.746827
Group 140 MCH,NJ,2403,103.1756294,102.7528993,1836,1.532135076,0.764044944,572,0.917832168,59016.46,0.238035789,525,0.461538462,264,0.502857143,0.087121212,0.04020979,23,2500,2565.933043,0.974304457,23,0.111255107,0.938722347,2696.93564,3183.653562
Group 140 MCH,MA,1005,153.0960784,154.0305378,801,1.237203496,0.797014925,306,0.921568627,46847.4,0.304477612,282,0.470588235,144,0.510638298,0.111111111,0.052287582,16,3000,2927.9625,1.024603286,14,-0.129340441,1.065971324,1917.517687,2424.181588
Group 140 MCH,GA,4212,63.4695189,51.823549,2853,2.232386961,0.677350427,582,0.859106529,36939.26,0.138176638,500,0.445017182,259,0.518,0.054054054,0.024054983,14,2500,2638.518571,0.947501385,14,-0.33367232,1.188163942,1320.432351,1667.884062
Group 140 MCH,AZ,2430,94.12863248,74.72818668,1741,1.998276852,0.716460905,351,0.894586895,33039.15,0.144444444,314,0.535612536,188,0.598726115,0.106382979,0.056980057,20,2200.359912,1651.9575,1.33197126,18,-0.158773945,1.08047055,832.676897,1212.583337
Group 140 MCH,IL,2409,91.98503311,76.29676629,1714,2.09218203,0.711498547,302,0.894039735,27779.48,0.125363221,270,0.42384106,128,0.474074074,0.0625,0.026490066,8,3000,3472.435,0.863947057,7,-0.216267517,1.091167535,2665.878871,2966.587019
Group 140 MCH,OH,2615,75.26597744,59.89774292,1716,2.235431235,0.656214149,266,0.917293233,20020.75,0.101720841,244,0.481203008,128,0.524590164,0.0625,0.030075188,8,2245.357178,2502.59375,0.897212014,8,-0.672048726,1.301333022,1186.643967,1383.146221
Group 140 MCH,ID,526,130.9214966,123.360038,409,1.268948655,0.77756654,147,0.925170068,19245.46,0.279467681,136,0.442176871,65,0.477941176,0.2,0.088435374,13,2706.048584,1480.42,1.827892479,13,-0.049763381,1.023621439,1163.929849,1465.893639
