Channel Groups,Price Adjustment Percent,Bids,Avg. CPC,Avg. Bid,Impressions,Avg. Pos,SOV,Clicks
Group 140 MCH,0,45233,89.56011642,55.83077665,24614,2.160531448,0.544160237,4810
Group 140 MCH,5,4980,95.46072,66.80234739,3101,2.064817801,0.622690763,625
Group 140 MCH,10,4724,89.91254325,62.04605765,2895,2.138264777,0.612828112,578
Group 140 MCH,-10,5668,85.74874776,55.16095045,3183,2.215205781,0.561573747,559
Group 140 MCH,-5,4695,85.11178879,56.98373961,2713,2.222263177,0.577848775,464
Group 140 MCH,15,1207,116.1483682,83.58325041,774,1.742894057,0.641259321,239
Group 140 MCH,-15,4362,73.78664773,48.02495529,2356,2.352716469,0.540119211,352
Group 140 MCH,25,925,117.6662703,82.86045405,565,1.755752212,0.610810811,185
Group 140 MCH,-20,1686,88.14699301,45.44538826,741,2.020242915,0.439501779,143
Group 140 MCH,35,45,70.83428571,59.39555556,29,2.034482759,0.644444444,7
Group 140 MCH,20,141,34.51333333,31.70815603,63,2.666666667,0.446808511,12
Group 140 MCH,30,138,44.475,32.32021739,59,2.677966102,0.427536232,4
Group 130 MCH,0,48120,87.37939064,50.55179116,19562,2.169376278,0.406525353,4677
Group 130 MCH,5,5375,90.30636099,60.37176624,2724,2.103891336,0.506790698,687
Group 130 MCH,-10,6106,84.06019672,49.91467967,2580,2.208139535,0.422535211,610
Group 130 MCH,10,5241,84.75223199,55.79327803,2498,2.199759808,0.476626598,569
Group 130 MCH,-5,4965,83.89901261,49.6938965,2093,2.268514095,0.421550856,476
Group 130 MCH,15,1315,109.4545914,74.33432268,704,1.639204545,0.535361217,257
Group 130 MCH,-15,4631,72.62428994,43.61520406,1764,2.421768707,0.38091125,338
Group 130 MCH,25,952,108.1941477,75.45348008,494,1.593117409,0.518907563,176
Group 130 MCH,-20,1719,98.03834586,43.04640489,492,1.882113821,0.286212914,133
Group 130 MCH,35,40,79.025,53.448,21,2.380952381,0.525,6
Group 130 MCH,20,138,69.02666667,26.90007246,27,2.814814815,0.195652174,6
Group 130 MCH,30,136,50.12857143,30.20213235,41,2.682926829,0.301470588,7
Group 150 MCH,0,27171,105.085244,65.41555319,13417,2.041666667,0.493798535,3812
Group 150 MCH,5,3042,112.5774476,78.06777558,1776,1.992117117,0.58382643,525
Group 150 MCH,-10,3466,104.1868008,65.11021902,1803,2.096505824,0.520196192,497
Group 150 MCH,10,3000,102.0671292,70.46813977,1674,2.078255675,0.558,418
Group 150 MCH,-5,2921,97.3794402,65.02665642,1503,2.113772455,0.514549812,393
Group 150 MCH,-15,2735,91.53795858,58.77482267,1380,2.315217391,0.504570384,338
Group 150 MCH,15,731,133.9251136,95.47416098,455,1.626373626,0.622435021,176
Group 150 MCH,25,550,123.9553147,93.63970909,342,1.643274854,0.621818182,143
Group 150 MCH,-20,881,125.1314706,52.98206116,310,1.938709677,0.351872872,102
Group 150 MCH,20,83,73.98,39.76409639,34,2.588235294,0.409638554,7
