State,Clicks,Quotes,Quotes to Binds,Binds,Target CPB,CPB,Performance,Scored Policies,ROE,Combined Ratio,Avg. MRLTV,Avg. Profit
VA,52556,16175,8%,1304,2375.427744,1682.501097,1.411843207,1261,-0.189904229,1.085916384,1230.320463,1437.866568
MI,56985,19267,5%,1059,2017.917847,2033.261303,0.992453771,1022,-0.160445411,1.085229799,1453.982258,1733.533691
MA,34034,9195,10%,941,2419.575574,1710.320393,1.414691413,913,-0.032229829,1.015664785,1371.642543,1726.46928
PA,37918,11459,7%,807,2367.421591,1969.151152,1.202254884,797,-0.342776124,1.174682699,969.8202097,1236.301627
NJ,34826,12103,5%,590,2028.813559,2033.458593,0.997715698,564,0.129807825,0.936486154,2226.249855,2575.572852
AZ,24900,8930,6%,515,1596.936212,1518.320524,1.051778058,503,-0.366447113,1.186829075,568.2393618,811.5186294
IL,19404,6563,6%,371,2332.140797,1752.61496,1.330663523,360,-0.131207025,1.058523154,1385.035227,1605.273811
GA,20365,7709,3%,235,2288.723404,2166.468426,1.056430538,229,-0.190874183,1.107463028,1365.205257,1695.429658
OH,10809,3662,4%,155,2057.79087,2369.691226,0.868379326,153,-0.754815653,1.341708769,1039.067398,1218.729062
MS,11135,3767,6%,222,1674.18215,1563.581847,1.070735218,218,-0.501694518,1.311414595,418.3364567,641.820114
ID,7669,2603,9%,237,2158.608836,1448.443671,1.490295328,226,-0.288372668,1.138068434,817.7526588,1022.767818
TX,16200,6071,2%,149,1929.048351,2269.242148,0.850084841,146,-0.391443666,1.183896989,1310.188939,1541.207271
KY,11415,3949,6%,252,1859.853859,1229.916468,1.512179003,244,-0.300051324,1.150641952,614.4885119,810.3174584
OR,8232,2753,6%,164,2167.672025,1579.263232,1.372584368,160,-0.088017979,1.040778483,1283.183887,1514.082599
NM,7043,2233,9%,203,1151.492912,1268.265764,0.907927143,194,-0.074802897,1.033452499,1068.936649,1261.893402
CO,5981,2170,3%,72,2317.708333,3368.268889,0.688100745,69,-0.313239689,1.135644941,2256.268533,2565.786828
DE,6144,1931,7%,129,1409.271188,1834.093101,0.768374947,124,-0.185825514,1.097016033,1072.127251,1395.171413
TN,9395,3086,6%,173,2372.831723,1300.871561,1.824032283,164,-0.301690801,1.149087836,652.7373592,856.122746
UT,5217,2043,7%,147,1788.321304,1436.113537,1.245250642,144,-0.15948573,1.077446135,945.3343249,1193.29137
IN,5875,2197,9%,192,680.9018765,1021.035,0.666874178,187,-0.200660726,1.10456841,538.9432281,752.4907284
NH,4306,1465,6%,86,2617.422951,2272.839535,1.151609214,85,-0.222524481,1.111052445,1420.461021,1735.167473
WV,6474,2134,5%,100,1919.295719,1817.7689,1.055852435,98,-0.520931902,1.239132745,895.1358293,1073.263757
NC,8854,2888,5%,139,952.9318382,1260.863957,0.755776889,116,-0.264837525,1.127131315,715.1143279,909.3018155
MD,4100,1695,4%,66,2270.833333,2636.289545,0.861374782,64,-0.12140783,1.051823389,2158.494335,2434.729609
CT,4719,1868,3%,62,1975.806452,2473.58629,0.798761886,47,-0.149950476,1.121302057,1521.448746,1965.534055
FL,6510,2332,3%,60,1787.565405,2486.7625,0.71883238,60,-0.26757206,1.146071715,1612.154561,1894.628493
WA,5917,2306,3%,70,1326.375992,2067.584143,0.641510043,68,-0.676019014,1.311608497,954.5553741,1123.034912
AL,6573,2216,4%,80,1672.247247,1758.27225,0.951074128,77,-0.315810405,1.177630885,978.1274286,1206.733678
MN,4580,1409,5%,71,2086.476934,1820.725211,1.14595927,69,-0.540970077,1.270349388,676.2975417,885.5781367
OK,6322,2271,5%,113,1306.51733,1083.771062,1.205528895,110,-0.321447422,1.169782799,365.7082675,577.8696622
NE,3346,1260,8%,98,1214.779026,1238.109745,0.981156179,92,-0.26373786,1.138215345,513.0674158,759.7072728
MO,4026,1496,4%,53,1410.122836,2026.350943,0.695892703,52,-0.716262228,1.34468747,757.4756996,938.0661942
SC,3918,1547,3%,46,1951.207172,1584.019565,1.231807495,43,0.049154683,0.974227634,1581.565227,1816.031529
KS,1841,708,3%,23,1890.961126,2215.221739,0.8536216,23,-0.67955735,1.360675454,492.3781653,742.9040587
AR,2943,1058,5%,53,1505.634574,937.6835849,1.605695779,52,-0.336770051,1.170733744,339.5023095,515.8411773
VT,1257,403,8%,31,2743.487435,1561.616774,1.756825029,30,-0.071837965,1.034144168,1224.98234,1501.1623
WI,2103,803,4%,35,885.1001883,1273.427714,0.695053342,32,-0.32118365,1.175580986,269.1380058,552.4420048
ME,926,370,5%,20,1895.124268,2130.9495,0.889333261,20,-0.934514859,1.45968938,776.8523834,928.2377136
IA,1369,490,8%,39,1053.568942,873.4676923,1.206191084,38,-0.313841804,1.159626129,379.7147895,539.2818557
NY,1510,652,1%,4,1175,7480.8225,0.15706829,4,-0.672997127,1.424266613,3186.467773,3783.33847
NV,41,33,18%,6,0,369.7466667,0,6,0.385833007,0.774974386,2125.348073,2746.685669
RI,41,16,6%,1,0,1141.02,0,1,0.563559637,0.687798301,6956.574219,8291.265625
DC,7,5,0%,0,0,0,0,0,0,0,0,0
