State,Segment,Clicks,Quotes,Quotes to Binds,Binds,Target CPB,CPB,Performance,Scored Policies,ROE,Combined Ratio,Avg. MRLTV,Avg. Profit
VA,MCH,26295,8124,9%,767,2959.517601,1951.349361,152%,740,-13%,106%,1514.670947,1768.545312
VA,MCR,9782,3384,5%,178,2412.921348,1823.902753,132%,175,-32%,114%,1180.485896,1374.60419
VA,SCH,13596,3618,7%,266,1190.724732,1107.876692,107%,257,-37%,117%,683.5609268,807.0800412
VA,SCR,2883,1049,9%,93,875,838.1352688,104%,89,-40%,117%,542.8922814,634.2798616
MI,MCH,28654,9538,6%,544,2464.84375,2637.355699,93%,519,-12%,106%,1968.213416,2334.943304
MI,MCR,8946,3281,6%,181,1964.640884,1806.587514,109%,177,-27%,115%,1113.23052,1344.171149
MI,SCH,15940,5015,4%,213,1500,1470.480141,102%,207,-27%,115%,924.7716592,1116.118133
MI,SCR,3445,1433,8%,121,1000,647.087686,155%,119,-2%,100%,638.6350326,763.7068138
MA,MCH,14438,3974,9%,377,2937.931034,2526.844138,116%,361,-6%,103%,1888.112516,2379.153431
MA,MCR,7776,2425,13%,315,2433.333333,1202.462063,202%,311,4%,98%,1143.583413,1443.112556
MA,SCH,9034,1966,7%,141,1707.238407,1444.789787,118%,136,-10%,105%,1056.774015,1318.409379
MA,SCR,2786,830,13%,108,1500,687.9661111,218%,105,2%,99%,679.2887186,850.2893685
PA,MCH,19970,6335,7%,473,2936.907517,2382.062622,123%,464,-32%,116%,1214.643052,1538.500638
PA,MCR,6074,2055,8%,155,2046.135822,1408.797548,145%,155,-30%,114%,722.460654,938.7234094
PA,SCH,10007,2459,6%,141,1192.205078,1426.339929,84%,140,-49%,125%,597.7247268,770.4744936
PA,SCR,1867,610,6%,38,950,1129.258158,84%,38,-72%,136%,360.249154,476.3037599
NJ,MCH,14035,5222,6%,308,2473.214286,2437.718994,101%,291,21%,90%,2994.106837,3465.019558
NJ,SCH,10443,2961,3%,99,1489.393939,2166.693636,69%,96,-49%,124%,1198.246958,1391.907408
NJ,MCR,5181,1828,6%,110,1952.727273,1204.790545,162%,105,31%,86%,1881.296428,2167.366594
NJ,SCR,5167,2092,3%,73,1000,1395.801233,72%,72,-25%,111%,996.5554975,1154.247134
AZ,MCH,11236,4178,6%,267,2183.053673,1941.397903,112%,263,-32%,116%,778.8517411,1101.345056
AZ,SCH,10218,3307,5%,167,893.0881348,1126.370838,79%,163,-55%,128%,328.9283353,480.456658
AZ,MCR,1477,657,5%,33,1608.806175,1319.099697,122%,30,-36%,119%,469.2450099,692.9659922
AZ,SCR,1969,788,6%,48,777.302002,665.5752083,117%,47,-32%,116%,282.8451513,413.5469326
IL,MCH,9614,3278,6%,198,2977.272727,2273.120303,131%,194,-13%,106%,1772.802724,2053.76431
IL,MCR,3355,1253,5%,68,2393.058396,1659.458088,144%,66,-8%,103%,1414.430806,1627.464424
IL,SCH,4333,1251,5%,67,1147.705444,842.648806,136%,62,-14%,106%,689.75832,814.7959612
IL,SCR,2102,781,5%,38,950,811.6239474,117%,38,-52%,123%,488.7237972,566.7972171
GA,MCH,13014,5294,4%,187,2487.967914,2334.854332,107%,183,-17%,110%,1517.83067,1875.310256
GA,SCH,6912,2228,2%,45,1480,1478.268889,100%,43,-32%,118%,769.5027207,979.2340001
GA,MCR,439,187,2%,3,2000,1993.406667,100%,3,-31%,120%,593.4581362,988.1842651
OH,MCH,7837,2663,4%,118,2228.231582,2651.835169,84%,117,-77%,135%,1142.862257,1341.484345
OH,MCR,1791,632,4%,25,1914.687378,1826.8468,105%,24,-77%,134%,826.9217008,963.6735522
OH,SCH,898,257,3%,8,719.8842163,719.96375,100%,8,-35%,116%,460.1008511,552.5450478
OH,SCR,283,110,4%,4,600,738.6775,81%,4,-72%,131%,433.8750572,490.8381004
MS,MCH,7874,2684,6%,149,2028.651568,2009.544832,101%,146,-56%,135%,482.9642165,746.4678779
MS,MCR,1025,394,6%,24,1787.678452,1054.759583,169%,23,-28%,117%,451.9342512,655.0438113
MS,SCH,1877,552,7%,38,559.7387085,496.6547368,113%,38,-27%,117%,211.4753359,331.5906611
MS,SCR,359,137,8%,11,475,318.7163636,149%,11,-19%,111%,204.9110371,296.9110815
ID,MCH,4551,1563,10%,161,2668.231144,1680.240745,159%,156,-28%,114%,944.515952,1181.300256
ID,MCR,980,413,6%,26,1444.109229,1267.671154,114%,24,-43%,121%,575.7197971,740.755284
ID,SCH,1625,457,9%,39,914.3138459,810.1846154,113%,36,-22%,110%,559.9701231,683.9622239
ID,SCR,513,170,6%,11,800,745.9763636,107%,10,-48%,123%,349.1412811,446.1920085
TX,MCH,6463,2764,3%,81,2486.111111,2653.37358,94%,80,-21%,110%,1812.141643,2129.89391
TX,SCH,7294,2203,2%,50,1190.064087,1466.2144,81%,48,-67%,132%,677.4735581,803.7617613
TX,MCR,1115,532,2%,9,2000,3278.954444,61%,9,-166%,176%,887.9735853,1038.878133
TX,SCR,1328,572,2%,9,950,2263.612222,42%,9,-178%,180%,645.08451,743.8090074
KY,MCH,5859,2117,8%,159,2216.75074,1450.251509,153%,151,-28%,114%,741.3764006,973.7709605
KY,SCH,3505,1053,5%,51,1034.596313,756.9045098,137%,51,-41%,121%,335.4516906,450.8243034
KY,MCR,1532,612,5%,30,1802.076929,1169.983667,154%,30,-33%,117%,539.3887067,725.2718516
KY,SCR,519,167,7%,12,782.7570801,470.61,166%,12,-12%,105%,391.4719156,493.9874821
OR,MCH,5386,1816,6%,117,2451.174131,1847.013248,133%,114,-16%,107%,1368.984985,1610.743696
OR,MCR,757,324,6%,21,2000,1001.712381,200%,21,19%,91%,1330.349984,1584.279092
OR,SCH,1679,465,5%,22,1050.492676,799.8672727,131%,21,-1%,101%,778.1325873,916.4586283
OR,SCR,410,148,3%,4,900,1066.395,84%,4,12%,94%,1241.749899,1528.235603
NM,MCH,3362,1083,11%,116,1587.070889,1473.734483,108%,113,2%,99%,1397.278467,1652.839679
NM,SCH,2734,801,9%,70,477.6159058,844.0321429,57%,65,-38%,117%,556.780342,648.908967
NM,MCR,787,273,4%,12,1184.977041,2091.229167,57%,11,-61%,128%,955.2234462,1142.632407
NM,SCR,160,76,7%,5,400,465.55,86%,5,6%,97%,556.6126221,657.6794067
CO,MCH,3213,1218,5%,55,2479.545455,3240.512909,77%,52,-12%,105%,2584.268843,2943.138032
